"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Re-Export","18.176","16.28","Weight in kilograms","16.28"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","385.258","34.28","Weight in kilograms","34.28"
"Luxembourg","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","218719.791","195168.361","Weight in kilograms","195168.361"
"Malaysia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2637602.504","4816478.17","Weight in kilograms","4816478.17"
"Malaysia","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","6975662.213","21446677.2","Weight in kilograms","21446677.2"
"Malaysia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Export","2268993.875","6098495.64","Weight in kilograms","6098495.64"
"Malaysia","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","5563142.074","17971487.5","Weight in kilograms","17971487.5"
"Malaysia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Export","958455.293","1981049","Weight in kilograms","1981049"
"Malaysia","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","4267091.991","9847136","Weight in kilograms","9847136"
"Maldives","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","135187.232","213081","Weight in kilograms","213081"
"Maldives","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","135337.672","209055","Weight in kilograms","209055"
"Maldives","2022","Wood; charcoal of nut or shell, whether or not agglomerated","Import","99191.791","139921","Weight in kilograms","139921"
"Malta","2024","Wood; charcoal of nut or shell, whether or not agglomerated","Import","34964.136","44410","Weight in kilograms","44410"
"Malta","2023","Wood; charcoal of nut or shell, whether or not agglomerated","Import","20466.252","23262","Weight in kilograms","23262"
